Summary,Description,Issue Type,Priority,Component/s,Status
sourcetree crash repohandlergitoldgetdefaultbranch,new win notebook lifebook ucloning new tfsgit repo using sourcetree always crashes exception belowif clone tfsgit repo using git bash add sourcetree everything works fine pull changing branch etcexception windows event logapplication sourcetreeexeframework version vdescription process terminated due unhandled exceptionexception info systemindexoutofrangeexception sourcetreereporepohandlergitoldgetdefaultbranchsystemstring sourcetreeviewmodelclonenewdialogviewmodelcdisplayclassrefreshremotebranchesb systemthreadingtaskstasksystemcanon mscorlib version cultureneutral publickeytokenbaceinnerinvoke systemthreadingtaskstaskexecute systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationsystemthreadingtaskstask systemruntimecompilerservicestaskawaitersystemcanon mscorlib version cultureneutral publickeytokenbacegetresult sourcetreeviewmodelclonenewdialogviewmodelrefreshremotebranchesdmovenext systemruntimeexceptionservicesexceptiondispatchinfothrow systemruntimecompilerservicestaskawaiterhandlenonsuccessanddebuggernotificationsystemthreadingtaskstask systemruntimecompilerservicestaskawaitergetresult sourcetreeviewmodelclonenewdialogviewmodelchecksourcedmovenextexception info reactiveuiunhandlederrorexception reactiveuirxappcdisplayclasscctorb systemreactiveconcurrencyschedulerinvokesystemreactiveconcurrencyischeduler systemaction systemreactiveconcurrencydispatcherschedulercdisplayclasssystemcanon mscorlib version cultureneutral publickeytokenbacescheduleb systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcheroperationinvokeimpl msinternalculturepreservingexecutioncontextcallbackwrappersystemobject systemthreadingexecutioncontextruninternalsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject boolean systemthreadingexecutioncontextrunsystemthreadingexecutioncontext systemthreadingcontextcallback systemobject msinternalculturepreservingexecutioncontextrunmsinternalculturepreservingexecutioncontext systemthreadingcontextcallback systemobject systemwindowsthreadingdispatcheroperationinvoke systemwindowsthreadingdispatcherprocessqueue systemwindowsthreadingdispatcherwndprochookintptr int intptr intptr boolean byref mswinhwndwrapperwndprocintptr int intptr intptr boolean byref mswinhwndsubclassdispatchercallbackoperationsystemobject systemwindowsthreadingexceptionwrapperinternalrealcallsystemdelegate systemobject int systemwindowsthreadingexceptionwrappertrycatchwhensystemobject systemdelegate systemobject int systemdelegate systemwindowsthreadingdispatcherlegacyinvokeimplsystemwindowsthreadingdispatcherpriority systemtimespan systemdelegate systemobject int mswinhwndsubclasssubclasswndprocintptr int intptr intptr mswinunsafenativemethodsdispatchmessagesystemwindowsinteropmsg byref systemwindowsthreadingdispatcherpushframeimplsystemwindowsthreadingdispatcherframe systemwindowsapplicationrundispatchersystemobject systemwindowsapplicationruninternalsystemwindowswindow sourcetreeappmain,bug,Low,General,Closed
failed reverse merge commit,error occurred try reverse merge commit full outputcodejavagit c diffmnemonicprefixfalse c corequotepathfalse nooptionallocks revert noedit fcbbcaeecdaaaffceerror commit fcbbcaeecdaaaffce merge option givenfatal revert failedcompleted errors see abovecoderevert command must provided required parentnumber parameter number merge side passing completely solve problem,bug,Low,General,Needs Triage
sourcetree crashes cloning repository bitbucket,cloning repository bitbucket fails activate clone button crashes app enter source pathurl destination path loadingvalidating crashes click clone imagepng,bug,Low,Bitbucket,Needs Triage
askpassexe error,keep getting error askpassexe usually least three times per day error basically popup windows interrupts work even meetings one askpassexe errors happen usually several quick successionthis issue pretty well documented thread users experience well fixes proposed thread workthough really like sourcetrees ui issue seriously making consider switching team another app colleagues error well please fix soon possible,bug,Low,Askpass,Needs Triage
crash changing diff font size,seems im getting version repro steps tools options change diff tab click change font change size click ok choose font dialog click ok options dialog crash,bug,Low,General,Needs Triage
sourcetree version bundling outdated pageant,recently updated sourcetree version noticed bundled outdated pageant version latest pageant version lot security bug fixed since version please update bundled pageant tools latest security fixthank,bug,Low,General,Needs Triage
azure devops auth working,cant seem get azure devops git authentication working sourcetree use userpat use cli hitting terminal icon using exact usernamepat since started happening upgraded today version,bug,Low,Git,Needs Triage
scroll amount tab bar,windows clicking leftright arrows repos tab bar bring next tab full visibility,bug,Low,UX,Needs Triage
force push setting reset upgrade,force push enabled upgrade option disabled options git enable force push,bug,Low,General,Needs Triage
updating system git longer works sourcetree,updating previous version probably soon offered update today wslgit longer works sourcetreeattempting change embedded system git options git appears nothing shown file path change embedded path system button remains enabled embedded button remains disabled error message shown clicking system button nothing briefly flash throbberwithout ability use system git cannot use repository stored wsl ie repositories effectively bug wholly prevents using sourcetree,bug,Low,Git,Needs Triage
commit log textbox problem new version ime japanese,details written imagesin japanese screen write commit logi able type japanese press space bar select candidate kanji continue type punctuationalthough punctuation appears moment disappearsthis happens version sourcetree caused new version imeolder version ime problemthank readingbelow text message japanese imeime,bug,Low,General,Needs Triage
support new format puttygen release,generated private public key current version puttygenbitbucked accepts well public keyhowever assign private key sourcetree get error messagecouldnt load private key putty key format new,bug,Low,Bitbucket,Needs Triage
show explorer reopens existing folder,cliking explorer button selecting show explorer menu opens folder working copybut folder already open pressing button opens another instance folder instead bringing folder,bug,Low,UX,Needs Triage
failed check login user,helloi cant login sourcetree cant pull terminal havent changed thing last friday everything working however login bitbucket via browseri reset password searched issues successhere error gotimagepng,bug,Low,Bitbucket,Needs Triage
push refspec honored,configured remotes push refspec remote user push refsusersmyusernameheads git push user sends modification userspace gerrit serverit works well command line sourcetree doesnt let use default push refspec always overrides target branch value doesnt let push without defined target branch makes increadibly hard actually find actually doesa solution obviously custom button sourcetree really honor push refspec config,bug,High,Git,Needs Triage
bug display git flow finish feature,good english apologize advancewhen try git flow finish feature feature branch based support branch branch shown preview finish feature dialog developexample tag v master branch run git flow support v v terminal using gitflow gui start v feature based supportv commit changes feature v try complete feature v using gitflow guiexpected behavior branch shown preview finish feature dialog supportvactual behavior branch appears preview finish feature dialog developadditional information actual merge destination supportv consistent expected behavior think branch shown dialog wrongin config file base contains original branch name branch created using gitflowit looks like need read display itcodebashgitflow branchfeaturev base supportvcode,bug,Low,Git,Long Term Backlog
